host,app,status
S-DC-EXC0206,PendingReboot,ok
S-DC-EXC0207,OWA,ok
S-DC-EXC0207,MAPI,ok
S-DC-EXC0207,RPC,ok
S-DC-EXC0207,Autodiscover,ok
S-DC-EXC0207,Powershell,ok
S-DC-EXC0207,EWS,ok
S-DC-EXC0207,ECP,ok
S-DC-EXC0207,OAB,ok
S-DC-EXC0207,Services,ok
S-DC-EXC0207,Replication,ok
S-DC-EXC0207,MRS,ok
S-DC-EXC0207,MAPI-Connectivity,ok
S-DC-EXC0207,Maintenance,ok
S-DC-EXC0207,Active DBs,ok
S-DC-EXC0207,Passive DBs,ok
S-DC-EXC0207,Disks,ok
S-DC-EXC0207,BitLocker,ok
S-DC-EXC0207,Anti-Malware,ok
S-DC-EXC0207,PendingReboot,ok
S-DC-EXC0208,OWA,ok
S-DC-EXC0208,MAPI,ok
S-DC-EXC0208,RPC,ok
S-DC-EXC0208,Autodiscover,ok
S-DC-EXC0208,Powershell,ok
S-DC-EXC0208,EWS,ok
S-DC-EXC0208,ECP,ok
S-DC-EXC0208,OAB,ok
S-DC-EXC0208,Services,no
S-DC-EXC0208,Replication,ok
S-DC-EXC0208,MRS,ok
S-DC-EXC0208,MAPI-Connectivity,ok
S-DC-EXC0208,Maintenance,ok
S-DC-EXC0208,Active DBs,ok
S-DC-EXC0208,Passive DBs,ok
S-DC-EXC0208,Disks,no
S-DC-EXC0208,BitLocker,ok
S-DC-EXC0208,Anti-Malware,ok
S-DC-EXC0208,PendingReboot,ok
S-DC-EXC0301,OWA,ok
S-DC-EXC0301,MAPI,ok
S-DC-EXC0301,RPC,ok
S-DC-EXC0301,Autodiscover,ok
S-DC-EXC0301,Powershell,ok
S-DC-EXC0301,EWS,ok
S-DC-EXC0301,ECP,ok
S-DC-EXC0301,OAB,ok
S-DC-EXC0301,Services,ok
S-DC-EXC0301,Replication,ok
S-DC-EXC0301,MRS,ok
S-DC-EXC0301,MAPI-Connectivity,ok
S-DC-EXC0301,Maintenance,ok
S-DC-EXC0301,Active DBs,ok
S-DC-EXC0301,Passive DBs,ok
S-DC-EXC0301,Disks,ok
S-DC-EXC0301,BitLocker,ok
S-DC-EXC0301,Anti-Malware,ok
S-DC-EXC0301,PendingReboot,ok
S-DC-EXC0302,OWA,ok
S-DC-EXC0302,MAPI,ok
S-DC-EXC0302,RPC,ok
S-DC-EXC0302,Autodiscover,ok
S-DC-EXC0302,Powershell,ok
S-DC-EXC0302,EWS,ok
S-DC-EXC0302,ECP,ok
